id,name,full_name,updated_at,created_at,pushed_at,size,stargazers_count,forks_count,open_issues_count,default_branch,head
186082056,case-studies,dtolnay/case-studies,2022-10-18T23:23:10Z,2019-05-11T03:13:53Z,2022-09-02T22:10:01Z,103,1207,34,2,master,0786753a29681527d3a42c295313b36040f0c4c1
46163500,rusty-machine,AtheMathmo/rusty-machine,2022-10-22T06:26:07Z,2015-11-14T05:55:27Z,2020-07-10T17:17:37Z,12405,1206,148,47,master,e7cc57fc5e0f384aeb19169336deb5f66655c76a
480592723,move,move-language/move,2022-10-23T17:19:10Z,2022-04-12T00:06:33Z,2022-10-23T04:52:13Z,81299,1206,269,134,main,77fd749567dddfff8c7db967357ccaaa1ebf3ca7
26039547,cc-rs,rust-lang/cc-rs,2022-10-23T16:37:57Z,2014-11-01T02:21:22Z,2022-10-17T18:57:53Z,2358,1206,320,116,main,53fb72c87e5769a299f1886ead831901b9c775d6
456728202,nextest,nextest-rs/nextest,2022-10-23T14:24:02Z,2022-02-08T00:34:33Z,2022-10-23T00:52:18Z,35963,1205,48,34,main,594c858bbd6a4cd9c3596ef687aa29be8fc760a3
170600558,rust-ipfs,rs-ipfs/rust-ipfs,2022-10-22T22:34:10Z,2019-02-14T00:27:59Z,2022-10-22T15:08:00Z,2973,1205,156,63,master,eb8e93553039663016fcb95230f2269ca7155e2a
149364416,rust-headless-chrome,atroche/rust-headless-chrome,2022-10-22T23:48:34Z,2018-09-18T23:31:53Z,2022-10-19T07:45:04Z,1064,1205,144,66,master,61ce783806e5d75a03f731330edae6156bb0a2e0
30062547,bytes,tokio-rs/bytes,2022-10-22T22:54:18Z,2015-01-30T08:05:46Z,2022-10-04T10:29:01Z,2193,1203,180,75,master,6e4b1f244b15dc486578103ae2db927bedee2d3e
361019889,rpg-cli,facundoolano/rpg-cli,2022-10-15T21:26:18Z,2021-04-23T22:29:19Z,2022-06-22T15:26:07Z,3186,1203,32,6,main,ff5f7c8daa538f0d37232ba324ebe9f4e1a817a4
240819168,code,rust-in-action/code,2022-10-23T16:44:31Z,2020-02-16T02:27:28Z,2022-10-09T06:28:46Z,13924,1202,261,42,1st-edition,6ebd519f5a691a2f4c7d9cfbdb2d3e708e9d9681
185491097,OffensiveRust,trickster0/OffensiveRust,2022-10-23T13:24:34Z,2019-05-07T23:12:20Z,2022-08-27T15:45:26Z,3616,1201,138,0,master,f06351d6ca0f04e240b269751948bc7f474a1d3e
